palabra	peso
Espirulina	0.2461
en	0.2543
Gomitas	0.2132
Nutritivas	0.2394
y	0.0312
Funcionales	0.2761
“Elaboración	0.2045
de	0.2244
un	0.1729
producto	0.2172
procesado	0.2699
saludable	0.2404
a	0.1740
partir	0.2086
merluza	0.2759
fresca,	0.2446
como	0.1084
una	0.2719
contribución	0.1868
para	0.2047
superar	0.2633
las	0.2053
brechas	0.2667
seguridad	0.2533
alimentaria	0.2624
e	0.2093
innovación	0.2090
existentes	0.1991
Chile”.	0.1688
